ticker,cluster_id,symbol,company_name,sector,sub_industry
XYZ,19,XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services
DPZ,20,DPZ,Domino's,Consumer Discretionary,Restaurants
EA,20,EA,Electronic Arts,Communication Services,Interactive Home Entertainment
TTWO,20,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
ADM,21,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
APA,21,APA,APA Corporation,Energy,Oil & Gas Exploration & Production
BG,21,BG,Bunge Global,Consumer Staples,Agricultural Products & Services
BKR,21,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
CF,21,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals
COP,21,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
CTRA,21,CTRA,Coterra,Energy,Oil & Gas Exploration & Production
CTVA,21,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals
CVX,21,CVX,Chevron Corporation,Energy,Integrated Oil & Gas
DD,21,DD,DuPont,Materials,Specialty Chemicals
DE,21,DE,Deere & Company,Industrials,Agricultural & Farm Machinery
DOW,21,DOW,Dow Inc.,Materials,Commodity Chemicals
DVN,21,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production
EOG,21,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production
EQT,21,EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production
EXE,21,EXE,Expand Energy,Energy,Oil & Gas Exploration & Production
FANG,21,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production
FCX,21,FCX,Freeport-McMoRan,Materials,Copper
HAL,21,HAL,Halliburton,Energy,Oil & Gas Equipment & Services
KMI,21,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
LYB,21,LYB,LyondellBasell,Materials,Specialty Chemicals
MOS,21,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
MPC,21,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
NUE,21,NUE,Nucor,Materials,Steel
OKE,21,OKE,Oneok,Energy,Oil & Gas Storage & Transportation
OXY,21,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
PSX,21,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
SLB,21,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
STLD,21,STLD,Steel Dynamics,Materials,Steel
TPL,21,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production
TRGP,21,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
VLO,21,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing
WMB,21,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
XOM,21,XOM,ExxonMobil,Energy,Integrated Oil & Gas
CAH,22,CAH,Cardinal Health,Health Care,Health Care Distributors
CI,22,CI,Cigna,Health Care,Health Care Services
CNC,22,CNC,Centene Corporation,Health Care,Managed Health Care
COR,22,COR,Cencora,Health Care,Health Care Distributors
CVS,22,CVS,CVS Health,Health Care,Health Care Services
ELV,22,ELV,Elevance Health,Health Care,Managed Health Care
HUM,22,HUM,Humana,Health Care,Managed Health Care
MCK,22,MCK,McKesson Corporation,Health Care,Health Care Distributors
UNH,22,UNH,UnitedHealth Group,Health Care,Managed Health Care
ABBV,23,ABBV,AbbVie,Health Care,Biotechnology
AMGN,23,AMGN,Amgen,Health Care,Biotechnology
BIIB,23,BIIB,Biogen,Health Care,Biotechnology
BMY,23,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
GILD,23,GILD,Gilead Sciences,Health Care,Biotechnology
INCY,23,INCY,Incyte,Health Care,Biotechnology
JNJ,23,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
LLY,23,LLY,Lilly (Eli),Health Care,Pharmaceuticals
MRK,23,MRK,Merck & Co.,Health Care,Pharmaceuticals
PFE,23,PFE,Pfizer,Health Care,Pharmaceuticals
REGN,23,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
VRTX,23,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology
ACN,24,ACN,Accenture,Information Technology,IT Consulting & Other Services
ADP,24,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services
AKAM,24,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
BR,24,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
CPAY,24,CPAY,Corpay,Financials,Transaction & Payment Processing Services
CPRT,24,CPRT,Copart,Industrials,Diversified Support Services
CSGP,24,CSGP,CoStar Group,Real Estate,Real Estate Services
CTAS,24,CTAS,Cintas,Industrials,Diversified Support Services
CTSH,24,CTSH,Cognizant,Information Technology,IT Consulting & Other Services
EBAY,24,EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail
EFX,24,EFX,Equifax,Industrials,Research & Consulting Services
EPAM,24,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services
FDS,24,FDS,FactSet,Financials,Financial Exchanges & Data
FICO,24,FICO,Fair Isaac,Information Technology,Application Software
FIS,24,FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services
FISV,24,FISV,Fiserv,Financials,Transaction & Payment Processing Services
GEN,24,GEN,Gen Digital,Information Technology,Systems Software
GPN,24,GPN,Global Payments,Financials,Transaction & Payment Processing Services
IBM,24,IBM,IBM,Information Technology,IT Consulting & Other Services
ICE,24,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data
IT,24,IT,Gartner,Information Technology,IT Consulting & Other Services
JKHY,24,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
MA,24,MA,Mastercard,Financials,Transaction & Payment Processing Services
MCO,24,MCO,Moody's Corporation,Financials,Financial Exchanges & Data
MSCI,24,MSCI,MSCI Inc.,Financials,Financial Exchanges & Data
MSI,24,MSI,Motorola Solutions,Information Technology,Communications Equipment
NDAQ,24,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
ORCL,24,ORCL,Oracle Corporation,Information Technology,Application Software
PAYX,24,PAYX,Paychex,Industrials,Human Resource & Employment Services
ROP,24,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
SPGI,24,SPGI,S&P Global,Financials,Financial Exchanges & Data
V,24,V,Visa Inc.,Financials,Transaction & Payment Processing Services
