rebalance_date,method,ticker,weight
2024-01-31,markowitz_best_sharpe_default,MRNA,0.09999999999999994
2024-01-31,markowitz_best_sharpe_default,AAPL,0.0549887696352933
2024-01-31,markowitz_best_sharpe_default,EA,8.587850194766867e-17
2024-01-31,markowitz_best_sharpe_default,STLD,0.052892668741885335
2024-01-31,markowitz_best_sharpe_default,MCK,0.09999999999999987
2024-01-31,markowitz_best_sharpe_default,LLY,0.09999999999999991
2024-01-31,markowitz_best_sharpe_default,MSI,2.1674579587051115e-17
2024-01-31,markowitz_best_sharpe_default,HCA,0.0
2024-01-31,cvar_bootstrap,PM,0.0
2024-01-31,cvar_bootstrap,TGT,0.0
2024-01-31,cvar_bootstrap,COST,0.04352790511294058
2024-01-31,cvar_bootstrap,KR,0.10000000000000003
2024-01-31,cvar_bootstrap,IRM,0.014809504059249474
2024-01-31,cvar_bootstrap,MCD,0.10000000000000003
2024-01-31,cvar_bootstrap,TMUS,0.0
2024-01-31,cvar_bootstrap,CBOE,0.09409816622680492
2024-01-31,cvar_bootstrap,PGR,0.10000000000000003
2024-01-31,cvar_bootstrap,STX,0.007771016441054995
2024-01-31,cvar_bootstrap,NEM,0.10000000000000003
2024-01-31,cvar_bootstrap,NVDA,0.0
2024-01-31,cvar_bootstrap,VRT,0.0
2024-01-31,cvar_bootstrap,TKO,0.06371277665331218
2024-01-31,cvar_bootstrap,SW,0.09608614135028241
2024-01-31,cvar_bootstrap,PWR,0.007905138299316857
2024-01-31,cvar_bootstrap,HWM,0.0
2024-01-31,cvar_bootstrap,MRNA,0.05057631171112444
2024-01-31,cvar_bootstrap,AAPL,0.0
2024-01-31,cvar_bootstrap,EA,0.10000000000000003
2024-01-31,cvar_bootstrap,STLD,0.0
2024-01-31,cvar_bootstrap,MCK,0.021513040145913886
2024-01-31,cvar_bootstrap,LLY,0.10000000000000003
2024-01-31,cvar_bootstrap,MSI,0.0
2024-01-31,cvar_bootstrap,HCA,0.0
2024-01-31,cvar_montecarlo,PM,0.0290595219583467
2024-01-31,cvar_montecarlo,TGT,0.0
2024-01-31,cvar_montecarlo,COST,0.10000000000000002
